outcode,latitude,longitude
GU1,51.243088615311144,-0.5648138889952161
GU2,51.24565352584939,-0.5941264460856719
GU3,51.24694272019463,-0.6287026253041361
GU4,51.243391709349574,-0.5400280264227648
GU5,51.198645078680194,-0.510048987309645
GU6,51.13938746596857,-0.4851618516579403
GU7,51.189632838587535,-0.6123138196721313
GU8,51.148490962405965,-0.6446358345864659
GU9,51.219182040444856,-0.794213108190091
GU10,51.197188848268915,-0.7967061130346244
GU11,51.24945750218342,-0.7633184061135377
GU12,51.25144658238989,-0.7292069773584902
GU14,51.29407423464092,-0.7637278193930419
GU15,51.33559640979966,-0.7371164320712684
GU16,51.30884757407405,-0.7250368905723908
GU17,51.3283413488372,-0.7883611561461792
GU18,51.348473703448285,-0.6699834482758624
GU19,51.359858188571444,-0.69188648
GU20,51.364290436708856,-0.6488056265822787
GU21,51.32115994214161,-0.5797674602763386
GU22,51.31198021868357,-0.5517722983014859
GU23,51.29360438095236,-0.5063506593406595
GU24,51.33024064102565,-0.6285246575091576
GU25,51.40104019369371,-0.5720774459459459
GU26,51.11426350533812,-0.7503538540925266
GU27,51.081293839228245,-0.7215445627009656
GU28,50.991078656338026,-0.6329360985915496
GU29,50.98485344626166,-0.7476870280373838
GU30,51.07566008609272,-0.8044122086092711
GU31,50.99705118202771,-0.9034168502304143
GU32,51.009074838129386,-0.9690302374100758
GU33,51.05156129394811,-0.8904010172910662
GU34,51.13896174162671,-0.9869609322169053
GU35,51.11667718230571,-0.8500145563002697
GU46,51.3385741457726,-0.8319956851311944
GU47,51.34948016058395,-0.7917999927007295
GU51,51.28407669781551,-0.8420122912621354
GU52,51.263018918552014,-0.8393513687782803
RH1,51.23745188263666,-0.15734507797427674
RH2,51.23515332742317,-0.20300771040189128
RH3,51.232563186206924,-0.27729855862068975
RH4,51.229869032983544,-0.33486312293853027
RH5,51.190576659409,-0.34390561430793104
RH6,51.173512116461396,-0.16459212430011208
RH7,51.17488209322036,-0.018406622881355927
RH8,51.251179508274234,0.0022541820330969253
RH9,51.23636903973507,-0.06167455629139073
RH10,51.11878687696328,-0.1539782083769634
RH11,51.11015967032043,-0.20775794603709963
RH12,51.07770660913722,-0.3312257592458296
RH13,51.03387789126563,-0.32845004278074824
RH14,51.03336950918201,-0.48583148080133537
RH15,50.9578939276169,-0.1303402093541203
RH16,51.001242421052666,-0.09808682247992889
RH17,51.021982081346394,-0.1197302089761571
RH18,51.09290948226955,0.03574920567375886
RH19,51.125708012545125,-0.014453903225806424
RH20,50.937605290502816,-0.4705371251396649
RH77,51.13877100000001,-0.16975199999999993
KT1,51.40758898826989,-0.29824275513196413
KT2,51.419050230994195,-0.2904319269005848
KT3,51.39964614819758,-0.2576638304405874
KT4,51.378389549808524,-0.2430498256704982
KT5,51.39052919034851,-0.28673611796246673
KT6,51.38742398793572,-0.30280780697050935
KT7,51.388019942084924,-0.3340666756756758
KT8,51.40151365207369,-0.36288465898617506
KT9,51.36389490249998,-0.30323534999999974
KT10,51.36947927140545,-0.3541329612277861
KT11,51.32834806106873,-0.4025762194656488
KT12,51.37733872709169,-0.4084415009960151
KT13,51.36815440503147,-0.44907848427672986
KT14,51.33832563867687,-0.488316798982188
KT15,51.3637240445609,-0.4958239567496728
KT16,51.382194077901396,-0.5174994928457871
KT17,51.34127898245598,-0.2493762658569497
KT18,51.31595794891941,-0.2632848821218077
KT19,51.352718428180616,-0.2708077113543092
KT20,51.28649489895979,-0.2311271500742941
KT21,51.31121607957553,-0.3035826206896552
KT22,51.30195295038594,-0.3395542822491732
KT23,51.279950640957445,-0.37593724734042594
KT24,51.270631410256364,-0.43066861538461554
SM1,51.367066975294094,-0.1928161282352938
SM2,51.3517869813875,-0.198793529610829
SM3,51.37129376517148,-0.21624551187335084
SM4,51.39301110652919,-0.19966291580756032
SM5,51.36867356284911,-0.16880499441340796
SM6,51.36167876253296,-0.14465815435356202
SM7,51.32298209574469,-0.2013632851063829
CR0,51.37324225843505,-0.07793671643933964
CR2,51.347951316999904,-0.0821360780000001
CR3,51.288342471649486,-0.08256718685567017
CR4,51.40439401756316,-0.15913960702524718
CR5,51.310983722222176,-0.1413234273504273
CR6,51.309389552529204,-0.05295369649805446
CR7,51.399330587171086,-0.10670588157894731
CR8,51.3318269121706,-0.114397633626098
CR9,51.3737308372093,-0.09854347286821703
CR90,51.37806799999999,-0.11326600000000005
SW2,51.44928758880312,-0.11979705501930514
SW3,51.48943471527774,-0.16598660185185227
SW4,51.46099092142085,-0.13647208611410122
SW5,51.491613300653604,-0.19185923856209156
SW6,51.47658329553031,-0.20104769979986611
SW7,51.496294338050326,-0.1769917122641505
SW8,51.476791975467236,-0.13197294509345822
SW9,51.46936681546394,-0.11388618659793809
SW10,51.48368214132762,-0.18275422269807284
SW11,51.468705221635936,-0.1629568271767807
SW12,51.44632268739491,-0.14906456974789925
SW13,51.47631350670241,-0.24319148257372644
SW14,51.465385690217374,-0.26699435869565213
SW15,51.456954701553514,-0.22863425347506183
SW16,51.421268665684956,-0.1292459285714287
SW17,51.43101289939638,-0.16523543058350113
SW18,51.451532986279325,-0.1914467982243743
SW19,51.424189225513835,-0.20283797097944345
SW20,51.410927190812764,-0.22780722791519437
SW95,51.480399363636344,-0.13624922727272717
TW1,51.451012775784704,-0.3254115500747389
TW2,51.44631930000001,-0.3545390218181818
TW3,51.468269507672616,-0.3639771432225084
TW4,51.465410596736575,-0.3879687109557108
TW5,51.48247627999997,-0.3862962000000001
TW6,51.470788614173195,-0.44832737795275596
TW7,51.47290551178007,-0.33598235863874365
TW8,51.48729375139147,-0.30569211873840546
TW9,51.46959421796997,-0.29242188685524106
TW10,51.44773523874756,-0.3028714070450099
TW11,51.42629305026927,-0.331797583482944
TW12,51.422980119217065,-0.36973843772242015
TW13,51.439071195994174,-0.4019267768240343
TW14,51.45334810482181,-0.4216749014675057
TW15,51.43119455037592,-0.4586183624060149
TW16,51.415715513059695,-0.41684267910447764
TW17,51.398251384057936,-0.4477815265700484
TW18,51.427744664886475,-0.5043765113484646
TW19,51.454343531088135,-0.4983792227979265
TW20,51.42750236850159,-0.5530391437308865
TW98,,
SL0,51.52602216521739,-0.516946023188406
SL1,51.51783656692916,-0.6221894900060575
SL2,51.53577127208476,-0.6058081086572448
SL3,51.4986940379981,-0.5514393577386473
SL4,51.47531107366876,-0.6276277768052504
SL5,51.40574743322113,-0.664008230078564
SL6,51.52398163288386,-0.7290693558068744
SL7,51.57547338769666,-0.7781073919885547
SL8,51.57875811278196,-0.7086812142857142
SL9,51.598078865450404,-0.5557096590649943
SL60,51.518548,-0.7147760000000002
SL95,51.49916762500002,-0.5390353750000002
BN1,50.842587130379684,-0.13942443544303795
BN2,50.82526988418436,-0.10101335305105844
BN3,50.835239246196366,-0.17763838865836792
